ttM,uM,fBT,hp,tcM,startR,branch,BvR_T,BvR_Cq%,BvR_Cs%,BvR_Tb%,SvA_T,SvA_WR%,SvR_T,SvR_WR%,WvR_T,WvR_WR%
10,8,12,1500,3,30,30,67.2,67,30,3,75.4,56.7,81.3,76.7,60.6,53.3
10,8,12,1500,3,30,35,59.3,83,17,0,88.3,93.3,79.0,83.3,70.0,76.7
10,8,12,1500,3,30,40,59.3,73,27,0,80.9,50.0,91.3,96.7,63.1,93.3
10,8,12,1500,3,40,25,56.6,50,50,0,73.6,43.3,63.6,46.7,57.0,13.3
10,8,12,1500,3,40,30,56.7,53,47,0,81.3,90.0,76.3,70.0,62.6,36.7
10,8,12,1500,3,40,35,56.4,43,57,0,85.1,63.3,84.0,80.0,72.0,46.7
10,8,12,1500,3,40,40,59.7,60,40,0,100.9,70.0,88.2,86.7,60.4,60.0
10,8,12,1500,3,50,25,45.0,0,100,0,64.1,23.3,45.2,0.0,56.9,0.0
10,8,12,1500,3,50,30,45.3,0,100,0,86.1,63.3,50.4,16.7,48.0,10.0
10,8,12,1500,3,50,35,45.0,0,100,0,45.0,100.0,46.3,96.7,47.7,10.0
10,8,12,1500,3,50,40,46.3,10,90,0,45.4,96.7,45.0,90.0,50.8,6.7
10,8,12,1500,4,30,25,68.4,97,0,3,82.6,33.3,85.4,76.7,65.7,83.3
10,8,12,1500,4,30,30,60.4,100,0,0,82.2,60.0,88.8,83.3,64.0,93.3
10,8,12,1500,4,30,35,60.4,100,0,0,103.4,70.0,88.1,83.3,76.7,93.3
10,8,12,1500,4,30,40,60.3,100,0,0,85.7,66.7,110.3,86.7,73.4,96.7
10,8,12,1500,4,40,25,59.2,57,43,0,74.9,46.7,67.3,36.7,59.7,13.3
10,8,12,1500,4,40,30,67.3,77,20,3,77.7,46.7,84.4,73.3,61.4,70.0
10,8,12,1500,4,40,35,59.4,67,33,0,85.3,76.7,88.1,76.7,69.3,66.7
10,8,12,1500,4,40,40,59.2,63,37,0,91.2,66.7,90.6,86.7,62.2,90.0
10,8,12,1500,4,50,25,56.4,63,37,0,76.9,60.0,67.4,50.0,56.4,36.7
10,8,12,1500,4,50,30,56.4,67,33,0,79.1,66.7,74.7,73.3,60.2,56.7
10,8,12,1500,4,50,35,72.8,67,27,7,97.4,83.3,81.3,66.7,60.3,83.3
10,8,12,1500,4,50,40,56.6,70,30,0,91.1,66.7,97.3,76.7,60.8,93.3
10,8,12,1500,5,30,25,61.8,100,0,0,75.6,46.7,75.4,63.3,66.5,83.3
10,8,12,1500,5,30,30,61.2,100,0,0,83.6,46.7,78.8,83.3,64.0,96.7
10,8,12,1500,5,30,35,61.7,100,0,0,88.9,76.7,101.4,86.7,67.3,100.0
10,8,12,1500,5,30,40,61.2,100,0,0,93.2,73.3,97.8,86.7,72.9,96.7
10,8,12,1500,5,40,25,68.4,90,7,3,71.7,43.3,81.2,56.7,61.3,56.7
10,8,12,1500,5,40,30,59.5,100,0,0,76.9,50.0,86.2,90.0,69.2,90.0
10,8,12,1500,5,40,35,59.4,100,0,0,84.5,83.3,98.1,90.0,62.8,96.7
10,8,12,1500,5,40,40,59.5,100,0,0,83.6,56.7,91.6,86.7,70.1,96.7
10,8,12,1500,5,50,25,58.1,97,3,0,75.2,43.3,71.1,43.3,65.1,23.3
10,8,12,1500,5,50,30,58.4,97,3,0,83.3,63.3,79.8,83.3,61.7,66.7
10,8,12,1500,5,50,35,58.4,90,10,0,78.4,50.0,93.1,80.0,78.2,86.7
10,8,12,1500,5,50,40,58.3,100,0,0,83.4,70.0,98.9,86.7,69.2,73.3
10,8,12,2000,3,30,25,75.5,47,50,3,97.9,40.0,76.5,40.0,66.6,10.0
10,8,12,2000,3,30,30,90.3,47,43,10,89.9,60.0,97.2,73.3,74.1,46.7
